stock_no,certificate_no,lab,Certificate,shape,size,color,clarity,cut,polish,symmetry,fluorescence,rap,discount,pr_ct,total_price,measurements,total_depth,table,link,key_to_symbols
F110A106778,1313174605,GIA,View Cert,ROUND,10.21,J,SI2,EX,EX,EX,NON,23000,-28,16560,169077.6,13.82*13.75*8.64,62.7,56,SEGOMA LINK,"Crystal, Feather, Needle"
F108A107576,350899221,IGI,View Cert,ROUND,10.01,H,VS2,EX,EX,VG,STG,48000,-55,21600,216216,13.61*13.69*8.6,62.9,57,SEGOMA LINK,
F109A107511,6315533624,GIA,View Cert,ROUND,7.01,G,VS2,EX,EX,EX,MED,39500,-28,28440,199364.4,12.2*12.16*7.68,63.1,57,SEGOMA LINK,"Crystal, Feather, Indented Natural"
G6B100618,1319753978,GIA,View Cert,ROUND,5.12,H,VS1,EX,EX,EX,STG,36500,-43,20805,106521.6,11.01*10.93*6.88,62.7,57,,Crystal
F110B106893,6312472039,GIA,View Cert,ROUND,5.03,F,VS1,EX,EX,EX,FNT,60000,-38,37200,187116,10.91*10.84*6.81,62.6,57,SEGOMA LINK,"Crystal, Feather, Needle"
G8300517,5316739685,GIA,View Cert,PEAR,5.02,F,VS2,,EX,EX,MED,38500,-35,25025,125625.5,14.82*9.6*6.06,63.2,59,,"Crystal, Feather, Cloud, Needle"
F108B107487,2316536327,GIA,View Cert,ROUND,5.01,G,SI2,EX,EX,EX,STG,22500,-43,12825,64253.25,11.17*11.12*6.6,59.2,61,SEGOMA LINK,"Crystal, Feather, Cavity, Natural"
F108C107512,7311533616,GIA,View Cert,ROUND,5.01,H,VS2,EX,EX,EX,STG,31000,-43,17670,88526.7,10.95*10.88*6.85,62.8,57,SEGOMA LINK,"Feather, Crystal, Needle, Pinpoint"
F109D307272,1317298043,GIA,View Cert,EMERALD,5.01,H,VS1,,EX,VG,NON,30500,-37,19215,96267.15,11.33*8.05*5.37,66.7,64,SEGOMA LINK,"Crystal, Feather, Needle, Pinpoint"
G7D100393,6311664871,GIA,View Cert,ROUND,5,I,VS1,EX,EX,VG,MED,29000,-40,17400,87000,10.94*10.9*6.78,62.1,56,SEGOMA LINK,"Crystal, Indented Natural, Needle, Natural"
F109E106780,7313664719,GIA,View Cert,ROUND,5,E,SI2,EX,EX,EX,MED,25000,-42,14500,72500,10.9*10.83*6.83,62.9,58,SEGOMA LINK,Crystal
G7B100379,6312664905,GIA,View Cert,ROUND,5,F,VVS2,EX,EX,EX,MED,67000,-44,37520,187600,11*10.93*6.8,62,59,SEGOMA LINK,"Pinpoint, Natural"
F91303280,350881465,IGI,View Cert,SQUARE MOD.,4.51,J,VS2,EX,EX,,VSL,13000,-42,7540,34005.4,8.95*8.9*6.55,73.6,69,SEGOMA LINK,
G7B100384,7311665057,GIA,View Cert,ROUND,4.09,F,VS1,EX,EX,EX,MED,42500,-43,24225,99080.25,10.33*10.28*6.27,60.8,59,SEGOMA LINK,"Crystal, Needle, Pinpoint"
F114318612,6315367714,GIA,View Cert,PEAR,4.01,D,VVS2,,EX,EX,NON,44000,-34,29040,116450.4,13.61*9.01*5.4,60,58,SEGOMA LINK,Needle
F71131008,6292608215,GIA,View Cert,ROUND,3.7,I,VS1,EX,EX,EX,NON,17500,-25,13125,48562.5,9.84*9.78*6.18,63,57,,"Cloud, Feather, Indented Natural"
F71130895,324885850,IGI,View Cert,ROUND,3.63,H,SI1,EX,EX,EX,SLT,15000,-44,8400,30492,9.74*9.81*6.12,62.6,56.5,SEGOMA LINK,
1.80E+11,1.80E+11,HRD,1,ROUND,3.08,K,SI1,EX,EX,EX,NONE,9200,-38,5704,17568.32,9.29*9.35*5.74,61.5,59,Image/Video,
G11100693,1.90E+11,HRD,View Cert,ROUND,3.02,F,SI2,EX,EX,EX,MED,15500,-36,9920,29958.4,9.16*9.21*5.77,62.8,56,,
G6D300623,7311768733,GIA,View Cert,PEAR,3.02,J,VVS1,,EX,EX,STG,12000,-37,7560,22831.2,12.7*8.08*5.06,62.6,60,SEGOMA LINK,Pinpoint
AS1,341808172,IGI,View Cert,ROUND,3.01,N,SI1,EX,EX,EX,NONE,6800,-45,3740,11257.4,9.17*9.24*5.73,62.3,56.5,Image/Video,
HD-1,341807624,IGI,View Cert,ROUND,3.01,L,SI1,EX,EX,EX,SLIGHT,8000,-35,5200,15652,9.17-9.26*5.76,62.5,59,Image/Video,
G14A100519,6312739430,GIA,View Cert,ROUND,3,H,VS2,EX,EX,EX,MED,18500,-40,11100,33300,9.2*9.15*5.8,63.2,57,SEGOMA LINK,"Crystal, Feather, Indented Natural, Pinpoint, Natural"
F91104125,6305523334,GIA,View Cert,ROUND,3,H,VVS1,VG,EX,VG,NON,25000,-43,14250,42750,9.01*8.88*5.82,65.1,57,,Feather
F114318611,7313367725,GIA,View Cert,EMERALD,3,D,SI1,,EX,EX,STG,18000,-49,9180,27540,9.01*6.8*4.61,67.8,64,SEGOMA LINK,"Crystal, Cloud, Feather, Cavity, Needle"
F71331130,324817382,IGI,View Cert,HEART,3,H,SI2,,VG,VG,NON,10300,-49,5253,15759,9.16*9.86*5.56,56.4,57,SEGOMA LINK,
TI-1023,1189931761,GIA,View Cert,Heart,2.99,Fancy DeepYellow - Brown,SI1,,EX,G,S,2730,0,2730,8162.7,7.77x9.19x5.66,61.6,63,Image/Video,
F89304523,5303725112,GIA,View Cert,HEART,2.7,D,VS2,,EX,VG,FNT,15500,-49,7905,21343.5,8.89*9.51*5.52,58.1,57,SEGOMA LINK,"Crystal, Cloud, Feather, Needle"
TI-1018,2176391978,GIA,View Cert,Cushion Modified,2.51,FancyYellow,SI1,,VG,VG,M,3255,0,3255,8170.05,7.29x7.20x5.10,70.8,57,Image/Video,
F89304168,6302540284,GIA,View Cert,HEART,2.33,D,IF,,EX,VG,NON,24500,-37,15435,35963.55,8.1*9.29*5.4,58.1,59,SEGOMA LINK,
F103A107554,7316619655,GIA,View Cert,ROUND,2.21,F,SI1,EX,EX,EX,NON,13500,-24,10260,22674.6,8.35*8.31*5.23,62.8,56,SEGOMA LINK,"Crystal, Cloud, Feather, Needle"
LN-1,341807108,IGI,View Cert,ROUND,2.2,L,SI1,EX,EX,EX,NONE,5600,-36.1,3578.4,7872.48,8.32-8.38*5.02,60.1,62.5,Image/Video,
F103A107531,2318619665,GIA,View Cert,ROUND,2.17,G,SI2,EX,EX,EX,FNT,10000,-41,5900,12803,8.23*8.18*5.15,62.7,58,SEGOMA LINK,"Crystal, Feather, Pinpoint"
TI-1039,7308354189,GIA,View Cert,Cushion Modified,2.1,FancyYellow,VS1,,EX,VG,F,4620,0,4620,9702,7.06x6.83x4.75,69.6,53,Image/Video,
F89303734,6305384993,GIA,View Cert,OVAL,2.09,D,VS2,,EX,EX,MED,15500,-40,9300,19437,9.97*7.21*4.53,62.8,61,SEGOMA LINK,Crystal
F69331233,7291630487,GIA,View Cert,SQUARE MOD.,2.07,D,VS2,,EX,EX,NON,15500,-38,9610,19892.7,7*6.99*4.94,70.7,70,SEGOMA LINK,"Crystal, Feather, Cloud, Needle"
PPS-PR-01,6311518134,GIA,View Cert,ROUND,2.06,L,VVS2,EX,EX,EX,FAINT,7000,-23,5390,11103.4,8.24-8.29*4.98,60.3,59,Image/Video,
G2100200,7316548944,GIA,View Cert,ROUND,2.05,L,VS2,GD,EX,VG,STG,6000,-40,3600,7380,7.75*7.65*5.14,66.8,57,,"Cloud, Pinpoint"
F82101503,1295992015,GIA,View Cert,ROUND,2.03,F,SI1,GD,EX,VG,NON,13500,-50,6750,13702.5,7.81*7.71*5.07,65.4,55,,"Crystal, Feather"
F94303920,6301441243,GIA,View Cert,CUSHION MOD.,2.03,F,VS1,,EX,EX,NON,14000,-35,9100,18473,7.34*6.79*4.88,72,62,SEGOMA LINK,"Crystal, Cloud, Needle"
G2100302,7311598778,GIA,View Cert,ROUND,2.02,F,VS2,EX,EX,EX,STG,16500,-40,9900,19998,8.04*7.99*5.04,62.9,57,SEGOMA LINK,"Cloud, Crystal, Feather, Needle"
F94A304271,2306593173,GIA,View Cert,EMERALD,2.02,J,SI2,,EX,VG,NON,5700,-44,3192,6447.84,7.86*5.92*3.97,67,65,SEGOMA LINK,"Twinning Wisp, Cloud, Crystal, Natural"
F91304067,2304523439,GIA,View Cert,HEART,2.02,D,VVS1,,EX,EX,FNT,22000,-36,14080,28441.6,8.04*8.74*5.06,57.9,57,SEGOMA LINK,Needle
F114318618,1315367727,GIA,View Cert,HEART,2.02,F,VS2,,EX,EX,FNT,13000,-36,8320,16806.4,7.38*8.94*5.31,59.3,59,SEGOMA LINK,"Crystal, Feather"
F80301686,6302079754,GIA,View Cert,CUSHION MOD.,2.02,J,VVS2,,EX,EX,NON,6900,-45,3795,7665.9,7.13*6.83*4.98,72.9,66,SEGOMA LINK,"Cloud, Needle, Natural"
SPRL-346,324818121,IGI,View Cert,ROUND,2.01,J,VS1,EX,EX,EX,VERY SLIGHT,9000,-42,5220,10492.2,8.08*8.13*5.02,62.1,54.5,Image/Video,
B-4-220,7298811033,GIA,View Cert,PRINCESS,2.01,G,SI2,,EX,VG,NONE,8500,-48,4420,8884.2,6.64*6.31*5.28,83.6,68,Image/Video,
F91103677,6302905776,GIA,View Cert,ROUND,2.01,E,I1,GD,EX,VG,NON,6400,-40,3840,7718.4,7.79*7.69*5.15,66.5,63,,"Crystal, Feather, Cavity, Needle, Pinpoint, Indented Natural"
G2100299,7311619195,GIA,View Cert,ROUND,2.01,K,SI2,EX,EX,EX,STG,6000,-35,3900,7839,8.05*7.99*5.04,62.8,56,SEGOMA LINK,Crystal
